"","Rh103Di<BC103>","Pd104Di<BC104>","Pd105Di<BC105>","Pd106Di<BC106>","Pd108Di<BC108>","Pd110Di<BC110>","Cd112Di<CD19>","In113Di<BC113>","Cd114Di<CD19>","In115Di<Blank>","La139Di<CD45>","Ce140Di<Blank>","Pr141Di<CD43>","Nd142Di<MHCII>","Nd143Di<B220>","Nd144Di<CD11a>","Nd145Di<Ly6GC>","Nd146Di<CD8>","Pm147Di<Ly6G>","Nd148Di<Ly6C>","Sm149Di<CD4>","Nd150Di<CD127>","Eu151Di<CD62L>","Sm152Di<CD11c>","Eu153Di<CD11b>","Sm154Di<CD3>","Gd155Di<CD86>","Gd156Di<BST2>","Gd157Di<CD27>","Gd158Di<Ter119>","Tb159Di<F4_80>","Gd160Di<FcER1>","Dy161Di<CD25>","Dy162Di<PDL1>","Dy163Di<PDL2>","Dy164Di<CD103>","Ho165Di<CD64>","Er166Di<CD48>","Er167Di<CD49b>","Er168Di<CD44>","Tm169Di<CD115>","Er170Di<CD38>","Yb171Di<MerTK>","Yb172Di<Sca-1>","Yb173Di<CD172>","Yb174Di<CD24>","Lu175Di<Siglec_F>","Lu176Di<CD90>","Ir191Di<DNA>","Ir193Di<DNA>","Pt195Di<Cisplatin>","Length<NA>"
"CD45+CD3-CD90-CD19- M1_35312",2.1520016440112,3.83834202855156,3.7943362666549,3.33538925792148,3.48593752677558,0.281991473608263,2.14680786646624,0.680701300014587,4.10064820137645,0.551268779854218,3.13764102821777,0.503557207874723,3.39197834830386,2.75450356076773,2.47413843728213,3.38400935403559,1.26727396969046,2.13060501385064,1.40736401185211,3.59891301224369,0.204785743635605,3.07762837445524,2.43349898486897,2.594459718917,3.55485006971632,4.05191396954931,2.95020342698571,2.22717279371464,1.23718406143998,0.416939189550638,2.41832268675906,2.86548884309573,1.87681376519606,2.36362533904932,0.231079278029011,2.43050124428673,3.00447956818443,3.42963342797739,2.79368114239403,3.4032848733391,0.309977183905202,3.12338589400714,1.78873589417595,2.91445161031218,3.54295953686437,1.65938819328476,2.25348971165618,4.45559631533711,3.93473202739065,4.12549033940094,4.04660690550052,4.29363827064359
"CD45+CD3-CD90-CD19- M1_37313",2.97388802695202,4.25613520043005,4.07604583027486,2.99437287337931,3.42329702676991,3.34280389370586,3.55314145947214,0.428007767654117,3.67330694563614,0.0966751833737675,2.95552148572628,0.881427546107182,3.47316927974616,2.23239402753884,2.73179801322006,3.83630089196375,3.55527647868042,1.85627673135585,3.26819666305221,2.889191025457,2.35273174959196,0.751576108138613,3.19588683683625,1.98958888424128,3.99636310276429,2.18107947422621,2.2472142211168,2.42598045522753,2.89594564288271,2.49084738207977,2.21780993035176,1.95915634807832,3.06649348807698,1.86202305522875,0.624035648970348,1.87636388581734,1.7529067804066,2.26938089168939,0.375228637756647,3.38571969524077,0.324252232033713,2.94028949035374,1.68135999226253,0.467551796378548,3.2163273918924,2.18803357795234,2.71285255404979,4.05934515042658,4.16285648583187,4.18082543220182,3.66015283880404,4.36294964556488
"CD45+CD3-CD90-CD19- M1_33855",3.02424519214753,3.78317957618363,3.76271851144913,3.34730361192483,3.2099118524743,1.05249735108821,3.87921854801639,1.22288770796648,3.44930619823789,0.897670767926621,3.08290075976381,0.145105896698166,2.88393131864024,3.86014302369856,2.74395880520556,2.46858117437529,0.82658252246595,1.84247043453677,1.25181741356532,0.882587539638752,3.14956443535049,0.833471148168188,0.50404382842407,2.94176140818503,3.2595154673006,3.9546598656414,3.06136069947667,0.639130056904867,0.377708310417762,2.42747021925911,0.93592952039429,2.61415189609227,0.245696479237656,2.63074157029022,0.891290121275695,2.3915535128153,2.86712899721596,2.53404740966975,0.20422760283953,3.2309466392382,0.453930469315272,2.66822146920289,2.91904497547785,1.76169518279608,2.84025646874691,0.995727507449016,2.01648227937635,3.78712534297305,4.17782720306596,4.21015233538655,3.90405346432969,4.23287126997388
"CD45+CD3-CD90-CD19- M1_17925",2.76674391291512,4.04461184404812,3.85204735843139,3.88869614118193,3.86674055721464,4.12050128082657,3.70233494913729,3.70610453369444,4.1724831240185,0.197673005070383,3.12920345103384,2.75447153376415,2.82439035373846,3.16502239732926,2.63229782455243,3.43000673820142,0.3992376975263,2.76790828454367,1.89678396435886,2.96585588053524,2.03144905268606,3.56426924807493,0.439618997276075,3.65652151485433,3.48128066030796,1.25449154671271,1.04868566517843,2.28615096084583,2.56388383263786,2.74169727132957,2.30667208568458,2.12346000263674,0.335556130308581,3.09076761547921,0.851469074288097,2.41220742366871,2.86367503539012,4.2148968346307,3.23864959236479,2.5911818286889,0.482429932114996,2.75866485830044,2.16391328748618,2.67198119986081,4.03662261320662,2.34381641158951,2.78910861003939,2.9634135333221,4.25500527032117,4.33745672447067,4.25051540642077,4.39403808638944
"CD45+CD3-CD90-CD19- M1_5207",2.305759933729,3.7885831363579,3.66430061287127,1.06137879569694,1.07259326497499,1.5726452073185,3.49694097669455,1.29202915921858,1.71496405444482,1.89482866758574,2.8390332615324,0.709706209382162,3.20521211486368,2.39387682222687,2.08253209848366,3.53511628498282,2.65554754145592,2.1944810301102,2.27360477939684,3.09508320074122,1.95009451460934,3.07206236616794,0.995664489908274,2.11909261485252,2.8929869776441,4.47333063093925,1.69999703410021,2.92149945089207,0.854136923025241,2.04827710511029,1.87118864173312,2.16564567993898,2.61890041081542,3.02578305099064,0.695004453574551,1.69355669645244,0.661465774018434,3.97982564544259,3.36124582730817,3.18924116097885,1.24603526836498,2.87373474274526,0.731597168036217,2.70305582455355,3.08031468705847,2.06652752560031,1.91978556912695,4.18557099974302,4.16178763259273,4.18516882020847,4.0628400560058,4.48808485070921
"CD45+CD3-CD90-CD19- M1_17476",2.95088427211524,4.0293782341592,4.0858336930102,3.93336253949238,3.19977224339555,2.17043288642891,3.19658937931172,3.43440764497158,2.58834158385896,1.60299870215639,2.94100698644581,0.490829951584576,3.8045651788719,2.45117715277868,0.57233173981288,3.84068410920939,1.44525563605994,2.27993289726005,0.925316008318389,2.55704601640462,1.37898800929321,1.6687715108048,1.80218233496454,2.83826244120578,3.77229465551472,3.26291838224843,1.89678919693739,1.96590831824476,1.97789364975367,1.10873601853891,2.85373382123655,2.73803694129829,1.84156548750107,1.67000150201025,0.490669613015975,1.8648731239384,0.72948651791275,2.90066348092784,0.775914921028816,2.93247963809783,0.373723393021426,0.348813768329074,1.10914390798421,1.31195164871535,3.48924434199976,1.5920832989475,1.28992784767898,3.56310352907847,4.41449051392063,4.34617302031274,3.90620927239076,4.25408581931871
"CD45+CD3-CD90-CD19- M1_32171",2.60964500250563,3.91312326355366,3.81830146506224,3.48088464398969,1.05527220711683,1.03333809731099,3.54789807796689,0.546862819154665,4.42244367315454,0.169734498367204,2.53984868121683,0.63547285733584,3.76958240758601,2.53150400363435,0.420646244788748,3.72345898762572,0.815798697308865,2.00212085752807,1.21402207015637,0.339803089742086,0.32614253328503,0.208106795617356,2.92602908984941,3.12196204559984,3.04989252118141,3.27802942098158,2.1527601607125,0.506253257158534,2.57203817020764,2.65744898868446,2.56700779319866,3.12011641211432,0.38061143606877,2.73878274187359,1.17579183399944,1.87922292132783,1.87719260864648,2.85019657360189,0.332352146639319,2.13464455789174,3.24165773836495,0.267184025047142,0.289760078201795,0.441829791317874,3.27442392125404,1.72376354296756,1.27245624033501,1.62620449334009,4.20030604704366,4.26451437310784,3.82760490733653,4.13582866904258
"CD45+CD3-CD90-CD19- M1_7745",2.93001526744811,3.92614470037569,3.8531355587341,3.5838558284855,2.96777092934927,3.6924855547514,2.27380813136572,3.34136928871788,0.887300701931581,1.65615018168093,3.37057017552373,0.709706209382162,3.62637688103786,3.73273047223906,0.963299935284359,2.99109115140527,1.72174052391696,1.85169223022586,2.65257255178733,2.42621761512177,1.28783293408442,3.34562012630674,2.32375702074985,2.54970263291207,3.24524582997184,4.17695477968344,3.41061268737475,2.48995735899374,1.85964145983705,2.96443743595818,2.61978493340006,1.87423055861683,2.3359731297371,2.3358616448789,0.537103451620706,1.72094800500188,3.39661779964059,3.04219632710428,1.82436667286823,3.37583949671211,2.23141662008964,3.4176670106794,2.9366864738241,0.518130733357563,3.36648737179316,1.57657767775188,2.05106958919244,2.16806540939912,4.36697107619511,4.32547405290137,3.93748264319694,4.40878573419355
"CD45+CD3-CD90-CD19- M1_33558",2.7004717297866,3.95871735803523,3.54740248328843,1.67226436769004,2.99551803968382,0.774104833118999,1.53212075341181,2.98152004477852,3.09328445945544,0.270892650159101,3.09340829639982,2.1762149230197,3.69197093254853,2.63700755829499,0.865509687318583,4.02375155839843,2.89159266568332,2.42478887157041,0.789302991598577,2.62967696584495,0.208719019714823,0.258741911667991,0.210799896433,2.70898934981585,3.56802729036227,0.95503210883051,2.50648758972536,1.72956083273291,0.645505785721527,2.1851904061261,1.35656927124376,2.41345909982202,1.37352918134203,3.0918679788561,1.79446907877829,2.38695262467554,0.598703010647244,3.010377218576,1.44885196530264,2.95003361455002,2.01356914176213,2.28212958769995,0.91199309452295,1.84611741203847,3.4125188228253,1.5843435437291,0.204227034745053,4.00639160251431,4.24426835612893,4.24167427453018,3.93856152245403,4.1870548564216
"CD45+CD3-CD90-CD19- M1_3556",2.9331429300643,3.94025622678404,3.9553636153755,3.68312439112261,2.98177959512204,3.92766319526414,2.92177757407451,2.19616526969537,3.77271815166849,1.23658206503066,3.19579820251813,0.979822339489788,3.4358923012709,2.23128370795354,2.67685573809412,3.68950629225844,1.92025895325725,1.98388833913782,1.25810604191127,3.71735595805108,2.77675843122342,3.5211346504095,2.70854542902499,1.90675916808007,3.75801681617516,3.93058271331054,2.51445994055852,2.52236340371666,3.08716471644955,2.26713426453307,2.91630908504616,2.25088415630847,0.761058434840583,2.16662817498367,0.802003026938974,2.4041849102382,3.35167625665312,3.89195480694898,3.54218700037517,3.03012685101552,1.31769419368564,2.91813467029541,1.67387047740853,2.33013290165387,3.61312932077548,1.24755771388974,1.13136034141128,3.81249711443984,4.4317899751642,4.30151686275632,4.05526374667755,4.36294964556488
