"","Rh103Di<BC103>","Pd104Di<BC104>","Pd105Di<BC105>","Pd106Di<BC106>","Pd108Di<BC108>","Pd110Di<BC110>","Cd112Di<CD19>","In113Di<BC113>","Cd114Di<CD19>","In115Di<Blank>","La139Di<CD45>","Ce140Di<Blank>","Pr141Di<CD43>","Nd142Di<MHCII>","Nd143Di<B220>","Nd144Di<CD11a>","Nd145Di<Ly6GC>","Nd146Di<CD8>","Pm147Di<Ly6G>","Nd148Di<Ly6C>","Sm149Di<CD4>","Nd150Di<CD127>","Eu151Di<CD62L>","Sm152Di<CD11c>","Eu153Di<CD11b>","Sm154Di<CD3>","Gd155Di<CD86>","Gd156Di<BST2>","Gd157Di<CD27>","Gd158Di<Ter119>","Tb159Di<F4_80>","Gd160Di<FcER1>","Dy161Di<CD25>","Dy162Di<PDL1>","Dy163Di<PDL2>","Dy164Di<CD103>","Ho165Di<CD64>","Er166Di<CD48>","Er167Di<CD49b>","Er168Di<CD44>","Tm169Di<CD115>","Er170Di<CD38>","Yb171Di<MerTK>","Yb172Di<Sca-1>","Yb173Di<CD172>","Yb174Di<CD24>","Lu175Di<Siglec_F>","Lu176Di<CD90>","Ir191Di<DNA>","Ir193Di<DNA>","Pt195Di<Cisplatin>","Length<NA>"
"cluster_1",2.75752981163882,3.84486813489936,3.57646241545335,3.23628621652956,2.2302723080214,2.14676641517257,2.74596011996699,2.16080824334576,2.9685096485891,0.891821773634425,3.12297377089707,1.11211329023666,3.46297390660306,2.55432846716717,2.40378352143396,3.57672800120955,1.74299710092053,2.01452427958519,1.46903630185876,2.49453134042959,1.54657935669288,2.74729124151349,1.8898654248111,2.51170397334871,3.12144488401184,3.22700202528093,2.29413077412643,2.09331187696318,2.04010514111374,1.83127001750743,2.08127342187294,2.29731446716184,1.68319207662227,2.34340548991722,1.20162077320062,1.91484645440952,2.10775080680524,3.14707261593285,2.22684136031369,2.67557746196168,1.24546023936579,2.41324036054478,1.38436653984569,1.85756093052919,2.94288703766129,1.48654264235201,1.3823355212983,3.26697699240484,4.22503705347244,4.24371125529635,4.0176252965533,4.32966897113705
"cluster_2",2.72378792712954,3.75580744142519,3.49229681277762,2.88086662151717,1.92535645698945,1.99623737789348,2.22072429347126,1.90608033284126,2.72663138475651,0.868830543645517,2.80506410410981,0.984724202004792,3.29649430814168,1.93168008128643,1.89055063011135,3.2289936070696,1.682894361689,1.15245797111176,1.30956063860165,2.28493649433393,1.35255873178537,1.91919943002901,1.85926469166673,1.9162465538179,2.79036560151209,2.7036511396287,1.62383596143184,1.91361100695868,1.98969046829428,1.51689671424104,1.76600858884444,1.95171357643582,1.38647606931535,2.19913023601115,1.00525828589086,1.39317702231628,1.61208757143577,2.61974604971039,1.95239542308109,2.21174295290678,1.25478450693207,2.43870466720835,1.23247955266441,1.76051729827926,2.59384225882447,1.33090180398664,1.18212563992771,2.65630392973514,4.20585040456656,4.21712791480327,4.01188753548895,4.29178263753202
"cluster_3",2.9109349366586,4.00165575636482,3.79678797550524,3.38845596071953,2.64430083573649,2.60272192406337,2.27120785551796,1.96357251449874,2.77319988301434,0.785442705636023,2.95348006179758,1.11332755365029,3.58641960216484,1.99753823259642,2.26165499898583,3.78031266991034,3.05027989806681,2.91049758014883,2.74640722287543,2.70826585305131,1.48900601540115,2.63256927676717,2.49695565240499,2.1825133804705,3.59121244601582,3.30472350498471,1.82244582720235,1.72993399712439,1.89698571298018,1.66040370678432,1.90138590765676,2.21296491732735,2.24568134503697,2.06763600348493,1.14473094130876,1.45524811969873,1.55110348890831,2.56276511906607,2.11997576077735,2.72283540688988,1.25309775736497,2.33218080470449,1.24127613737082,1.58091845535331,3.14447453186094,1.85418177346086,1.48304179032439,2.82335771963027,4.25045924505352,4.26009815997414,3.94380329962728,4.33750711386335
"cluster_4",2.76603690238291,3.83135315481944,3.58354462789818,3.16823599496001,2.09571063271473,2.44856577666294,2.22380776175319,1.96851624483166,2.62966322352222,1.11749350906848,3.00770041041699,0.963487124091018,3.61941417310793,1.9493276238013,2.06692856491275,3.70482903060638,2.128173273329,2.37377582849194,1.63291615189305,2.62395639651725,1.33019186642281,2.43329881886422,2.33728019443513,2.1264847530322,3.27447463463082,3.09393178378526,1.87534561093656,1.9516112777107,2.04367381903721,1.53800533017141,2.02614376164936,2.54021728312041,1.86883711925187,2.36127059600525,1.0808333126081,1.59693151371768,1.67825643449675,2.96702706318509,2.36152002432114,2.47796572842736,1.27564122275883,2.39907900700667,1.05154337104917,1.79035431757079,2.80238941515437,1.4585798851928,1.26752800326109,3.07264706138151,4.21739412482037,4.22629016411486,4.02160878281676,4.34080088649045
"cluster_5",2.79141410832263,3.75969655681201,3.50906737088746,2.81294288933993,2.10469346654002,1.93485488475117,1.9341426961366,1.7092417612155,2.17318730370351,0.783602490480734,2.74955057192754,0.886328249340964,3.31486392061054,1.10586560987278,1.8550313441276,3.19349570501135,1.63528262784078,1.97553812572889,1.3685065619483,2.39616837764979,1.30381448594977,1.6132740086417,1.92687253281603,1.76021868052605,2.79627836429233,2.75638212591125,1.57905748882897,1.87118754099243,1.87231498775524,1.45628369321215,1.75434150486805,2.02122219035748,1.48440728071489,2.18606113263168,1.06871131874367,1.33559503932348,1.45815915467481,2.61115956644301,2.04197820570165,2.159477587253,1.19560706727592,2.35482246011956,1.13302485835597,1.75896217975756,2.30893541247538,1.44419854634574,1.1070127666259,2.90497343479939,4.22871884386383,4.22606039113707,4.05261419919794,4.30018013734065
"cluster_6",2.57775674304951,3.60550933477793,3.17590829954451,2.60436472910821,1.8202379650812,1.85350479838081,2.16076378042056,1.49806707242773,2.23573729224304,0.902406852214651,2.65437248363928,1.01088065201156,2.85508857575722,0.778462449202483,1.53585423469843,2.53507204180856,1.11523143348501,0.707233667622312,1.04444264478725,1.94562669247676,1.01191602456732,1.32492705625806,1.2743694461829,1.60547917687899,2.02667699708683,2.46049010515301,1.39472687325101,1.91068464930774,1.73267899764091,1.26187531165679,1.21214395762696,1.58168544636639,1.23936386056814,1.78145485702484,0.792860221596537,1.19193737108434,1.19054756057537,1.95327243803556,1.80631052475378,1.73260661728997,0.947467874475614,2.29214253926592,1.14840130711221,1.52903634611241,1.80794663029484,1.05159411012129,0.889654105509036,2.47164224987999,4.23067376707984,4.24634418123561,3.95699491095881,4.25273677133734
"cluster_7",2.87091991201236,3.96798333378812,3.78005853151233,3.35083318254566,2.51824442283213,2.34021983309927,2.30478446439613,1.93957350169664,2.60027161510354,0.702030712149853,2.9391348274008,0.905348970242855,3.54945979419619,1.12595534284541,2.17194607765581,3.68065444753772,2.79227118554216,2.72919416273087,2.47828108963919,2.65849238927767,1.38734226481368,2.50749210436761,2.50915745707198,1.94747399405267,3.50004550925919,3.17396873185045,1.62788989561937,1.84165968153609,2.01568469686689,1.69402544339733,2.0020736418283,2.29688885803289,2.09063297302834,2.14591982262194,1.24647986995121,1.54919334626279,1.48651621912514,2.56926849332418,2.00863334531851,2.72222925415932,1.34115335691709,2.25035053998127,1.1065447203304,1.79123293972122,3.07482869521658,1.60045949787542,1.29495547934537,2.90649917205491,4.22505229410429,4.23736094477273,3.91874457446045,4.3155782734397
