"","Rh103Di<BC103>","Pd104Di<BC104>","Pd105Di<BC105>","Pd106Di<BC106>","Pd108Di<BC108>","Pd110Di<BC110>","Cd112Di<CD19>","In113Di<BC113>","Cd114Di<CD19>","In115Di<Blank>","La139Di<CD45>","Ce140Di<Blank>","Pr141Di<CD43>","Nd142Di<MHCII>","Nd143Di<B220>","Nd144Di<CD11a>","Nd145Di<Ly6GC>","Nd146Di<CD8>","Pm147Di<Ly6G>","Nd148Di<Ly6C>","Sm149Di<CD4>","Nd150Di<CD127>","Eu151Di<CD62L>","Sm152Di<CD11c>","Eu153Di<CD11b>","Sm154Di<CD3>","Gd155Di<CD86>","Gd156Di<BST2>","Gd157Di<CD27>","Gd158Di<Ter119>","Tb159Di<F4_80>","Gd160Di<FcER1>","Dy161Di<CD25>","Dy162Di<PDL1>","Dy163Di<PDL2>","Dy164Di<CD103>","Ho165Di<CD64>","Er166Di<CD48>","Er167Di<CD49b>","Er168Di<CD44>","Tm169Di<CD115>","Er170Di<CD38>","Yb171Di<MerTK>","Yb172Di<Sca-1>","Yb173Di<CD172>","Yb174Di<CD24>","Lu175Di<Siglec_F>","Lu176Di<CD90>","Ir191Di<DNA>","Ir193Di<DNA>","Pt195Di<Cisplatin>","Length<NA>"
"cluster_1",2.79751455689734,3.8740867478009,3.6884101990903,3.38500463489486,2.68164281854733,1.84573550202609,3.19658937931172,2.19616526969537,3.44930619823789,0.63168978718906,3.12920345103384,0.974741193136707,3.54324910647812,2.3420063588735,2.67685573809412,3.68403042559459,1.71519262700232,1.96949139054823,1.33632586651787,2.58063653693566,1.27686904574493,3.08039471760058,1.89202517111022,2.594459718917,3.44834113796297,3.67548056186835,2.37491504694899,2.28615096084583,2.09769253955995,1.81474158527581,2.30667208568458,2.46276391687957,1.8326721304728,2.45336682314717,0.891290121275695,2.04216342779263,2.06981215807172,3.32424513987278,2.52331264720772,2.78217300695269,1.04196767649901,2.62479935825158,1.10914390798421,1.87079449548362,3.34237605740243,1.5843435437291,1.10477589723594,3.58896880882781,4.22602839427929,4.25689976337631,4.02497316836168,4.32988732431782
"cluster_2",2.68120549200364,3.8015558254998,3.6445427845492,3.21959545157806,1.60492469157648,1.61249624811527,2.49464270308471,1.5368183928985,3.10312821847505,0.691117797229513,2.81653804822571,0.862582253850668,3.42382296564182,1.86710690999049,2.13022235409207,3.6336567662916,1.6684390162625,1.18902894331199,1.06886687776,2.44849501978943,1.08026216422289,1.6905473817329,1.68383256173477,1.94800399933369,3.31330372100564,3.24116278990672,1.71697799994117,2.08003193348675,2.17886981666995,1.5363110790659,1.7787144532255,2.21438751820509,1.04741935721348,2.2177690498303,0.826685849350614,1.34833564916477,1.18586824214679,3.03780737213299,2.07436815682658,2.37110463168057,1.0964144533809,2.53558105972528,0.958872906697402,1.72733013438251,2.90101912425698,1.33522402752626,0.922532170439297,3.11322736994001,4.20780489850399,4.21558550166347,4.03254358904397,4.29363827064359
"cluster_3",2.94879536241508,4.06093879961841,3.87707112856643,3.55589286316087,3.07521578989287,2.89382044573296,2.55830134973184,1.76823260850214,3.20344801184974,0.650941495235287,2.92961854735676,0.871969636029683,3.59794589357549,1.97873276020879,2.60313601785531,3.8056204369838,3.70216749316028,2.90604669680856,3.65927794345525,2.67584212053805,1.53336716440449,3.03769528878859,2.65806657282373,2.17566519677785,3.81622736070792,3.73652227844281,1.88937760295526,1.8441770042758,1.94816484389326,1.79725448185931,1.96277829690123,2.57264719656394,2.35720957453768,2.10921650010929,0.986350311766731,1.45682251366047,1.31224712933891,2.41961557026324,2.24319784728744,2.78985341640202,1.00630532715495,2.45497917907263,1.03292638081302,1.58419752474114,3.36319945416292,1.95346818287465,1.25493498011956,3.14876712041266,4.26574758000612,4.25907526216258,3.88681168121829,4.32988732431782
"cluster_4",2.77699047714556,3.83292972963337,3.68293383870709,3.3925915122923,2.14758393192595,2.82242694004474,2.61382595866144,1.82882663749105,2.90341676794089,1.102625706023,3.03678918482597,0.992615575306499,3.62145650470617,1.95418477813778,2.0642438564261,3.79356845101142,2.11705450286386,2.38329624966425,1.16036419185162,2.71187532823509,1.18006432940427,2.35391826689854,2.41823082366732,2.1810422477005,3.4906137913328,3.50704667405837,1.88406186559469,2.00994093970005,2.23187062235598,1.69934530529559,2.07149408642202,2.8306714932787,2.00353460154956,2.58328128839225,0.958794781382664,1.59179157533931,1.58258603521006,3.24960567740219,2.56198196990004,2.68231143905822,1.05548048782045,2.64595345870306,0.838315650630303,1.98991910217609,3.19494456300671,1.66053167445006,1.07966812257999,3.30537713387042,4.22602839427929,4.22210626502327,4.04390212153457,4.36294964556488
"cluster_5",2.69438267551402,3.80480084596868,3.62585140491521,3.19954489993978,2.24317648564863,1.68870815640344,1.84787516945673,1.27658942552856,2.28162801420469,0.566249339692649,2.78240500152985,0.798860434595783,3.46494590785577,1.22447168633179,1.84197340307005,3.57343641521696,1.55549886711085,1.98694813027169,0.998272085683727,2.55586115334441,1.05328122148316,1.11298374231834,2.00573691227831,1.8626434250866,3.26665039246752,3.28840219377304,1.63345517771423,1.94676532184343,1.81376399501152,1.63494497106892,1.7162516603381,2.24982626191283,1.20324162029067,2.28368811982714,0.902519575042371,1.32175825779135,1.13352205954776,2.7624222381129,2.21623064404109,2.34405772347867,0.865518229209645,2.47710466069178,0.947846100307964,1.75895273781673,2.65174832047355,1.39634952268372,0.871886820057034,3.16274179740225,4.23675581282384,4.247655142945,4.06286025567476,4.3121408855911
"cluster_6",2.57562162902633,3.57656039705933,3.33428327708313,2.9292182074623,1.47708010757407,1.40054271615797,2.54051913756421,1.01132895467124,2.89163756516496,0.722807969029135,2.71710826702577,0.93469586447621,3.04748758960514,0.822902465714246,1.24672030086968,2.6558230509319,0.905543907309556,0.691455442301787,0.885446463208261,2.00134554857302,0.805772231896465,1.16692644039631,0.919006223134378,1.63360286816776,1.56794950255941,2.9412813819288,1.44014164382284,1.98362599444791,1.5467856915973,1.12787027979069,0.93592952039429,1.11719069936206,1.07437274326523,1.6948952730476,0.753004096555117,1.14087324169083,0.872194121862559,1.88985955594073,1.93343785741858,1.68993551881874,0.845166526456265,2.38318896923502,0.862787309867322,1.43250195972202,1.53042496302439,0.923732296987015,0.799196351595427,2.8106143462807,4.2431949739626,4.26451437310784,3.92346024245576,4.23287126997388
"cluster_7",2.85783561266299,4.0021876721952,3.88794831932832,3.63441693002771,2.984548618331,2.47319813614856,2.67268915598815,1.71639248848501,3.3713448302218,0.537445432671808,2.97629505880086,0.803297635169447,3.61161535553572,1.19539032901017,2.38732678120464,3.762345532508,2.75138961219704,2.72844316717142,2.4436491432869,2.63372917263558,1.2348340435234,2.94697153753924,2.68746277656847,1.88007628705288,3.71188943228626,3.55774406285134,1.74781611660007,2.05197364828863,2.2229087576818,1.83197675327005,2.13621172406031,2.46193629117868,2.43668371963563,2.06813720786014,1.07270625418715,1.5955959367381,1.16048850787485,2.66801101873914,2.12382814866512,2.91053744279729,1.16353042126779,2.43811259763981,0.951467289025943,1.82091896193455,3.2985367414008,1.75831551900887,1.10034473698803,3.11805009200473,4.21852260154011,4.25037394736413,3.90674825489715,4.3121408855911
